id,focus_area,metric,sub_label,source_method,value_raw,value_numeric,frequency,impact_area,working_group,cadence_monthly,cadence_quarterly,cadence_6months,cadence_yearly
1,Driving increased access to open data content,Number of engaged partner projects supported using eLwazi infrastructure,,Formal (signed) agreements/MOUs/REDCap & Ilifu data,5 (CHD-AI for a DTA / MoU with Segun - check with Nicky? / RefGraph building / DRC samples from Aime for T2T assemblies. / Where doe DNAStack fit in?),5,Quarterly by OTUSWG,"Research infrastructure sustainability, Scientific legacy, engagement & collaboration",OTUSWG,0,1,0,0
1,Driving increased access to open data content,Number of engaged partner projects supported using eLwazi infrastructure,Gen3 deployments,,"3 (UCT, MADIVA, ACE-Uganda?)",3,,,,0,0,0,0
1,Driving increased access to open data content,Number of engaged partner projects supported using eLwazi infrastructure,DS-I Africa projects using Terra,,2 (Inform and CAMRA) / 2 DS-I Africa Datathons/ 1 Containers Workshop,2,,,,0,0,0,0
1,Driving increased access to open data content,Number of engaged partner projects supported using eLwazi infrastructure,Catalogue (project numbers),,35 projects,35,,,,0,0,0,0
2,Driving increased access to open data content,Number of unique datasets logged on catalogue (assumes successful ingestion/harmonisation if uploaded),,"Data from REDCap project submission form, Catalogue system logs",101,101,"Quarterly months. Annually by DSWG

Target: 90% DSI projects","Resource uptake, Research efficiency",DSWG,0,1,0,1
2,Driving increased access to open data content,Number of unique datasets logged on catalogue (assumes successful ingestion/harmonisation if uploaded),Number of domains represented in the eLwazi Catalogue,,4,4,,,,0,0,0,0
2,Driving increased access to open data content,Number of unique datasets logged on catalogue (assumes successful ingestion/harmonisation if uploaded),Demographic & Health,,49,49,,,,0,0,0,0
2,Driving increased access to open data content,Number of unique datasets logged on catalogue (assumes successful ingestion/harmonisation if uploaded),Geospatial,,15,15,,,,0,0,0,0
2,Driving increased access to open data content,Number of unique datasets logged on catalogue (assumes successful ingestion/harmonisation if uploaded),Image,,2,2,,,,0,0,0,0
2,Driving increased access to open data content,Number of unique datasets logged on catalogue (assumes successful ingestion/harmonisation if uploaded),Omics,,42,42,,,,0,0,0,0
3,Driving increased access to open data content,"FAIR maturity level improvement of logged datasets on the catalogue per project

Number of FAIR goals achieved per project (rough estimate if number not possible?)

Comment: should be done per dataset and indicator will be overall projects with increased FAIR scores / maturity levels",,"FAIR assessment reports (Elixir FAIR Cookbook)


Data Jamboree (excel sheet with goals, 2026 will assess progress/achievements)","Ideal level 1 then movers to level 3 * number of projects.  /  How many FAIR recipes used by projects, which are the most common ones?",,Annually by DSWG with partner projects,"Research efficiency, Skills development, Scientific legacy",DSWG,0,0,0,1
4,Driving increased access to open data content,"Number of unique visitors to metadata catalogue, volume of searches performed,",,"Google Analytics

(spreadsheet)",Meet with Ziyaad to chat about Google analytics,,Quarterly automated reports by Ziyaad Parker,Resource uptake,DSWG,0,1,0,0
5,Driving increased access to open data content,Number of unique clicks on data access pathways downloads (clicks on get requests button),,Google Analytics,Meet with Ziyaad to chat about Google analytics,,"Quarterly automated reports, DSWG","Resource uptake, Research efficiency",DSWG,0,1,0,0
6,Driving increased access to open data content,Rate of perceived ease of access and usability of metadata catalogue by users,,"User surveys through REDCap, Focus groups, Direct feedback",,,"Annually,
Ad-hoc by OTUSWG & DSWG",Research efficiency,"OTUSWG, DSWG",0,0,0,1
7,Driving increased access to open data content,Resolution rate of tickets submitted (time taken to respond to and resolve logged helpdesk tickets),,Log dates of tickets submitted and resolved dates,Ziyaad,,"Ad-hoc as tickets submitted (assigned individual, managed by Ziyaad)","Resource uptake, Engagement","OTUSWG, DSWG",1,0,0,0
7,Driving increased access to open data content,Resolution rate of tickets submitted (time taken to respond to and resolve logged helpdesk tickets),Number of tickets (open/closed/resolved) submitted on eLwazi,,37,37,,,,0,0,0,0
8,Advancing Collaborative Research Through Infrastructure & Technical Integration,Number of operational and discoverable services (GA4GH standards/kits) (federated or non-federated) dedicated to nodes,,"Deployment reports, system logs, formal confirmations",Pilot - 4 sites,4,Quarterly reviews by ISWG with site technical teams,"Research efficiency, Resource uptake",ISWG,0,1,0,0
